strength,dexterity,fighting,shieldsSkill,armourSkill,armourEncumb,shieldPenalty,species size,weap1 damage,w1 base delay,w1 min delay,w1 total slaying,brand,w1 ranged?,weap2 damage,w2 base delay,w2 min delay,w2 total slaying,w2 brand,w2 ranged?,,,Authorisation:,https://yagisanatode.com/2020/08/17/running-google-apps-script-for-the-first-time-whats-with-all-the-warnings/,,,,,,,,,,
dwarf,5,275,2,12,27.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
deep dwarf,5,275,2,12,27.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
necrophage,5,275,2,10,27.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
vampire mosquito,5,275,2,15,27.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
water moccasin,5,275,2,15,27.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
tengu,5,225,2,12,22.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
felid,5,175,2,18,17.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
Grum,4,400,2,9,40,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
Duvessa,4,360,2,9,36,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
gnoll sergeant,4,260,2,9,26,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
Ijyb,3,240,2,12,24,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
gnoll bouda,3,195,2,9,19.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
Crazy Yiuf,3,195,2,9,19.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
hound,3,165,2,13,16.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
killer bee,3,165,2,18,16.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
lava snake,3,165,2,17,16.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
Natasha,3,150,2,12,15,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
halfling,3,105,2,12,10.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
gnoll,2,130,2,9,13,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
ufetubus,1,70,2,15,7,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
hobgoblin,1,55,2,10,5.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
jackal,1,55,2,12,5.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
quokka,1,55,2,13,5.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
kobold,1,35,2,12,3.5,1.107041453,1.101431446,1.10160121,1.09858915,1.095264841,1.090383399,1.084992855,1.078585837,1.071804414,1.064041449,1.055718142,1.046380554,1.03631101,1.025105547,1.012701833,0.9991966509,0.9841765663,0.967661908,0.9492316319,0.8823575055,0.8152472181,0.816031978,0.8167615699,0.8175686805,0.8183697968,0.8193535014,0.8196797681,0.8202218469
Maurice,5,600,1,13,60,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
Pargi,5,350,1,12,35,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
ogre,5,275,1,6,27.5,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
fire bat,5,225,1,14,22.5,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
the Lernaean hydra,30,1500,0,5,150,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Margery,22,1650,0,10,165,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Frederick,21,1575,0,10,157.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Hellbinder,20,1500,0,13,150,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Cloud Mage,20,1500,0,13,150,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Head Instructor,20,1500,0,18,150,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
spectator,20,1000,0,10,100,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Rupert,16,1200,0,10,120,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Kirke,16,1120,0,10,112,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf blademaster,16,1040,0,25,104,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
draconian stormcaller,16,880,0,0,88,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf master archer,15,750,0,15,75,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf annihilator,15,675,0,13,67.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf death mage,15,675,0,13,67.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
creeping inferno,15,10,0,10,1,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Frances,14,1330,0,10,133,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
ironbound preserver,14,1120,0,6,112,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf sorcerer,14,630,0,13,63,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf elementalist,14,630,0,13,63,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
merfolk aquamancer,14,630,0,12,63,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Louise,13,1040,0,10,104,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
merfolk javelineer,13,730,0,12,73,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
hydra,13,715,0,5,71.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
drowned soul,13,195,0,13,19.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
twister,12,120000,0,5,12000,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
ironbound frostheart,12,600,0,10,60,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf demonologist,12,540,0,13,54,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
ballistomycete,4,260,1,0,26,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
worm,4,180,1,5,18,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
player ghost,4,140,1,2,14,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
player,4,140,1,2,14,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
Agnes,11,990,0,20,99,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
flayed ghost,11,605,0,14,60.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
deep elf knight,11,495,0,17,49.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
large abomination,11,495,0,0,49.5,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
plant,10,2000,0,0,200,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
demonic plant,10,2000,0,0,200,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
withered plant,10,2000,0,0,200,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
merfolk impaler,10,780,0,18,78,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
spatial maelstrom,10,750,0,5,75,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
Josephine,10,700,0,10,70,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
hell knight,10,650,0,10,65,1.083922799,1.078429947,1.078192178,1.075203935,1.0719388,1.067258309,1.062088012,1.05596149,1.049449429,1.042003954,1.033993296,1.025005856,1.015284237,1.004459837,0.9924652501,0.9793744341,0.9648031676,0.948752878,0.9308254714,0.8653724617,0.7996728767,0.8005579231,0.801390117,0.802290612,0.803182862,0.8042323265,0.8046951746,0.8053450055
